"Symptom Type","Reporter Comment"
"Assembly Issue","CS7010*-M782- scrub deck is in contact with the chassis when pulled up from the left side of the machine.  "
"4 - Quality Issue - Functional","7765/R032 Still has a little bit of shaking on hopper after reworked. Thus, need approval or rework properly."
"4 - Quality Issue - Functional","7765/R032 Still has a little bit of shaking on hopper after reworked. Thus, need approval or rework properly."
"2 - Quality Issue - Appearance","7765/R037 has paint scratches on chassis and engine."
"2 - Quality Issue - Appearance","7765/R037 has paint scratches on chassis and engine."
"5 - Quality Issue - Assembly","7765/R032 has three screws loose on ext corner roller bumper from the back left side of the machine."
"2 - Quality Issue - Appearance","7765/R037 paint scratches on radiator…see photo "
"2 - Quality Issue - Appearance","O097: pin holes on hood cover for solution tank."
"2 - Quality Issue - Appearance","O097: debris in filter."
"5 - Quality Issue - Assembly","O097: loose screw from interface panel. Informed Keng from main 6 to double check when screwing."
"4 - Quality Issue - Functional","SC7010/O022 when doing the service test. Running the Ecoflex system and solution system; it is a leak coming from the ecoflex hose the one the goes connect to the pump "
"2 - Quality Issue - Appearance","Red gasket coming out of key area"
"4 - Quality Issue - Functional","CS7010/O022 dump door needs to be adjusted fail to pas the jig "
"5 - Quality Issue - Assembly","Paint chip"
"5 - Quality Issue - Assembly","Missing LP tank foam."
"4 - Quality Issue - Functional","SC6500/P248 drive with some knocking noise from under machine…."
"2 - Quality Issue - Appearance","SC6500/P248 has pin holes on recovery tank..see red tag."
"5 - Quality Issue - Assembly","P257: EDC machine, missing battery kit"
"5 - Quality Issue - Assembly","P257: EDC machine, require floor mat kit."
"4 - Quality Issue - Functional","SW8000/O092 Has a leak from left side mist spray nozzle."
"Assembly Issue","P248-Sc6500-Missing thumb nut on side skirt both of squeegee "
"2 - Quality Issue - Appearance","P249: scratches on recovery tank."
"5 - Quality Issue - Assembly","P249: two loose black cables from left side batteries."
"Assembly Issue","7765/R037 - Machine shakes when hopper is being raised up or down."
"Assembly Issue","7765/R037 - Squeegee is crooked/lose."
"Assembly Issue","FL891 SC50 Liberty - one of the pin on the harness sc50 TC1 cell gateway is pushed down and couldnt detect connection "
"Part Shortage","Missing bracket console support (56514762)  M#663.
"
"Assembly Issue","SW8000/ O092 - Big gap between engine and lever and a scratch on engine cover near under the seat."
"2 - Quality Issue - Appearance","SW8000/M1221 has scratch on intermediate cover.see photo"
"5 - Quality Issue - Assembly","SC6500/P247 is missing the holes for beacon kit "
"2 - Quality Issue - Appearance","SW8000/M1221 intermediate has gaps. See photo"
"2 - Quality Issue - Appearance","7765/M1221 engine cover hitting against intermediate cover."
"2 - Quality Issue - Appearance","7765/M1221 engine cover hitting against intermediate cover."
"2 - Quality Issue - Appearance","7765/M1221 engine cover hitting against intermediate cover."
"5 - Quality Issue - Assembly","SW8000/M1221 has wrong filters placed on. The (56394280) HEPA filter and switch kit color is white not blue."
"5 - Quality Issue - Assembly","SW8000/M1221 Second serial decal not straight."
"5 - Quality Issue - Assembly","FL890: loose connectors from 3D camera and autonomous."
"5 - Quality Issue - Assembly","7765/R023 has no coolant in bottle - overflow ( 56394241)."
"5 - Quality Issue - Assembly","FL891: not all 3 pins from meter flow are not plug with main harness."
"5 - Quality Issue - Assembly","P249: actuator for squeegee fail the jig when squeegee goes down."
"5 - Quality Issue - Assembly","P248: loose screws for recovery tank latch. However, if screw to tighten, the screw may touch the recovery tank. "
"Assembly Issue","hopper cover rubs hopper "
"5 - Quality Issue - Assembly","P248: recovery tank does not align with solution tank. When adjust, make sure recovery tank does not touch chassis, grind on solution tank."
"Assembly Issue","O028/7765 - Missing ZTR serial number to activate and transfer, no ZTR sticker on machine since missing number."
"5 - Quality Issue - Assembly","Fault code 38 not cleared "
"5 - Quality Issue - Assembly","FL890: missing zip tie for green ground wire."
"Assembly Issue","O028/7765 - When hopper is closing, it's making the whole machine shake."
"5 - Quality Issue - Assembly","SC8000/ R032 came after rework with left side falling."
"Assembly Issue","FL889 sc50 Liberty - new main harness requires a ferrite bead "
"Assembly Issue","FL889 sc50 Liberty - only able to get 2 out of 3 connection on TC1 Module. Key switch and battery stats are good but no Vacuum stats "
"Assembly Issue","FL889 sc50 Liberty - only able to get 2 out of 3 connection on TC1 Module. Key switch and battery stats are good but no Vacuum stats "
"5 - Quality Issue - Assembly","SW8000/O055 cap for the mist spray solution, that is located on the intermediate cover assy, can’t be opened because the engine cover is getting in the way "
"5 - Quality Issue - Assembly","SW8000/O055 cover center assy latch it’s too tight, pin might pop out "
"5 - Quality Issue - Assembly","SW8000/O055 one of the fittings on the manifold is missing torque seal "
"5 - Quality Issue - Assembly","SC8000/R032 hopper rub up against tire when pulling hopper out."
"5 - Quality Issue - Assembly","SC8000/R032 hopper rub up against tire when pulling hopper out."
"5 - Quality Issue - Assembly","SC8000/R032 Missing decals on both side of the main broom door."
"2 - Quality Issue - Appearance","O005: damage rubber flap from dump door."
"2 - Quality Issue - Appearance","O005: damage rubber flap from dump door."
"2 - Quality Issue - Appearance","O005: left over debris in filter."
"4 - Quality Issue - Functional","7765/R019 drive wheel hydraulic hose showing oil residue "
"4 - Quality Issue - Functional","7765/R019 dump door hydraulic fittings are showing residue or possibly of leaks "
"4 - Quality Issue - Functional","SC8000/R023 main broom fitting and reservoir fittings are showing residue or possibly leak "
"5 - Quality Issue - Assembly","M1092: missing silver serial decal for over head guard."
"5 - Quality Issue - Assembly","M1092: loose deck."
"4 - Quality Issue - Functional","M1092: leak of antifreeze from water pump."
"4 - Quality Issue - Functional","SC8000/R023 radiator has a leak "
"5 - Quality Issue - Assembly","M1092: loose screw from interface panel."
"1 - Performance Loss","TEST"
"5 - Quality Issue - Assembly","M1092: latch is difficult to pull for left side roller bumper."
"2 - Quality Issue - Appearance","M1092: left over dirty water on left side roller bumper."
"2 - Quality Issue - Appearance","M1092: filter have left over debris."
"2 - Quality Issue - Appearance","M1092: scratches on left side door panel and recovery tank."
"2 - Quality Issue - Appearance","M1092: scratch on front lower hopper."
"2 - Quality Issue - Appearance","Decal is crooked"
"Assembly Issue","SC8000-R023-no red water to prime the machine"
"5 - Quality Issue - Assembly","FL887: can not prime machine due to no more red antifreeze. "
"2 - Quality Issue - Appearance","FL887: scratch from recovery tank was cause by the screw from electrical panel."
"5 - Quality Issue - Assembly","SC6500/N56 steering wheel column decal is not place it a 90 Degrees"
"5 - Quality Issue - Assembly","SC6500/N256 euro cable plastic bag is missing the 2 rubber boots "
"5 - Quality Issue - Assembly","FL: loose cable connectors from 3D camera and autonomous."
"2 - Quality Issue - Appearance","FL887: scratch on b surface recovery tank."
"5 - Quality Issue - Assembly","FL889: 3 pins from meter flow is not plug with main harness."
"5 - Quality Issue - Assembly","N257: solution lid is difficult to open. Need to adjust lid."
"Assembly Issue","hopper cover rubs hopper a little in the inside "
"1 - Performance Loss","CS7010/O067 screenshot not properly recorded "
"2 - Quality Issue - Appearance","O067: debris in the filter."
"2 - Quality Issue - Appearance","SC6500/N156 back of recovery tank has mixed paint color "
"Part Shortage","missing hopper cover cs7010 "
"2 - Quality Issue - Appearance","SC6500/N256 has bad mold rework and pin holes on recovery tank. See picture"
"2 - Quality Issue - Appearance","SC6500/N256 has bad mold rework and pin holes on recovery tank. See picture"
"2 - Quality Issue - Appearance","SC6500/N256 has bad mold rework and pin holes on recovery tank. See picture"
"5 - Quality Issue - Assembly","SC6500/N265 Missing serial numbers on VF"
"Assembly Issue","CS7010-O067-scrub deck loose"
"5 - Quality Issue - Assembly","  Cap interferes with engine cover"
"5 - Quality Issue - Assembly","SC6500/P29 missing non step decal "
"Assembly Issue","SC8000-O023-engine check light "
"2 - Quality Issue - Appearance","SW8000/O054 has broken scr. Pan hd Phil hp5 8-32 *.32 (56002523) on intermediate cover latch."
"Assembly Issue","P289-Sc6500- Missing Lug, brush driver"
"2 - Quality Issue - Appearance","SW8000/O054 Intermediate cover assy has gap/mismatch."
"2 - Quality Issue - Appearance","SW8000/ O054 has scratch on plate, filter shaker"
"Assembly Issue","7765/R028 MISSING SOLITION FEED LINKAGE [FROM SUB 2 ]"
"Assembly Issue","7765/R028missing solution tank [from sub 1] "
"2 - Quality Issue - Appearance","O096: debris in the filter"
"5 - Quality Issue - Assembly","Eco flex not primed with RV fluid"
"5 - Quality Issue - Assembly","O096: loose screw from interface panel."
"Assembly Issue","SW8000/O054 - Intermediate cover isn't properly closing."
"4 - Quality Issue - Functional","Machine still moves with parking brake at 3 clicks"
"4 - Quality Issue - Functional","No backup alarm"
"5 - Quality Issue - Assembly","Recovery tank interferes with solution tank."
"Assembly Issue","P245-Sc6500- Rear squeegee installed incurrent "
"5 - Quality Issue - Assembly","CS7010/O065 has loose washers on both overhead guard kit - standard and OGH beacon kit."
"Assembly Issue","CS7010/O066 - Scrub deck is loose."
"Assembly Issue","CS7010/O066 - Dump door isn't opening, making cranking noise."
"Assembly Issue","P245-Sc6500- Missing lug, brush driver all 4"
"2 - Quality Issue - Appearance","SW8000/M418 poor cleaning, dust derbies and plug forgot under hydraulic on top of chassis "
"2 - Quality Issue - Appearance","SW8000/M418 painting is coming off "
"1 - Performance Loss","TEST"
"4 - Quality Issue - Functional","SC6500/P244 slide seat is getting stuck, it does not allow the seat to move back and forth "
"5 - Quality Issue - Assembly","Bent eyelet on power mod"
"5 - Quality Issue - Assembly","Spray paint over battery "
"Part Shortage","missing shaker cs7010"
"2 - Quality Issue - Appearance","FL884: scratch on interior top hood."
"2 - Quality Issue - Appearance","SC6500/P242 has scratches and pin holes on solution tank as well as recovery tank."
"2 - Quality Issue - Appearance","SC6500/P242 has scratches and pin holes on solution tank as well as recovery tank."
"Assembly Issue","FL885 SC50 Liberty - P clamp on autonomy/breakout box harness is installed incorrectly by supplier "
"Assembly Issue","P244-Sc6500- Missing pre drill beacon kit holes"
"4 - Quality Issue - Functional","CS7010/O064 right side dust guard it could have a leak "
"5 - Quality Issue - Assembly","FL884: missing zip ties for main harness with front plate and with two other cables next to detergent bottle after rework."
"5 - Quality Issue - Assembly","CS7010/O062 left side door latch not properly installed; it does not lock the door "
"2 - Quality Issue - Appearance","FL884: scratches on electrical panel."
"1 - Performance Loss","TEST"
"1 - Performance Loss","TEST"
"4 - Quality Issue - Functional","FL884: pin one from green wire of the grey plug from main harness for charger onboard is not inserted in. Which cause the machine to not charge for battery."
"Assembly Issue","P243 sc6500 - water leaking from solenoid valve assembly "
